asdf_id,viirs_ntl_annual_v21_avg_masked.2012.mean,viirs_ntl_annual_v21_avg_masked.2013.mean,viirs_ntl_annual_v21_avg_masked.2014.mean,viirs_ntl_annual_v21_avg_masked.2015.mean,viirs_ntl_annual_v21_avg_masked.2016.mean,viirs_ntl_annual_v21_avg_masked.2017.mean,viirs_ntl_annual_v21_avg_masked.2018.mean,viirs_ntl_annual_v21_avg_masked.2019.mean,viirs_ntl_annual_v21_avg_masked.2020.mean,viirs_ntl_annual_v21_avg_masked.2021.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
237,25.5470891692,26.134131757,27.6581598875,27.5370498476,29.1384647077,30.9205373372,32.2942974053,33.3507618345,33.8393987802,34.4409699425,ADM2,237,THA,THA-ADM2-46861878B74812971,Khan Na Yao,ADM2
238,0.919150267631,0.974392166763,1.00872970998,1.04137301019,1.16160799597,1.18990462264,1.21348993056,1.21064514641,1.19809084299,1.4586610033,ADM2,238,THA,THA-ADM2-46861878B41508030,Khanom,ADM2
239,0.1481976699,0.167405020651,0.171177676669,0.211571891228,0.194472570414,0.267701485374,0.271910671278,0.269696848734,0.288699061188,0.383186002211,ADM2,239,THA,THA-ADM2-46861878B47178335,Khanu Woralaksaburi,ADM2
240,0.198516236378,0.195684650577,0.224766967874,0.253647441941,0.277304293067,0.360926614266,0.541846074066,0.658496423982,0.708774259992,0.955740247029,ADM2,240,THA,THA-ADM2-46861878B76706223,Khao Chaison,ADM2
241,0.0774510549031,0.0952865392173,0.121770438347,0.238557200343,0.292434569222,0.336424073533,0.383641785418,0.405138875068,0.434663362097,0.484455091465,ADM2,241,THA,THA-ADM2-46861878B61868952,Khao Chakan,ADM2
242,0.0900151785582,0.11858385101,0.192236305169,0.292178300822,0.345659224669,0.485491584198,0.49816617913,0.510005994362,0.573198383695,0.632336803114,ADM2,242,THA,THA-ADM2-46861878B89058842,Khao Chamao,ADM2
243,0.0704738937795,0.0838346944848,0.0895919249336,0.0912550104287,0.115222890907,0.152032413407,0.186023999069,0.227415837152,0.242502863889,0.24362890986,ADM2,243,THA,THA-ADM2-46861878B79173717,Khao Khitchakut,ADM2
244,0.144564535279,0.175583594107,0.14795411215,0.170142594011,0.198637230887,0.299359858816,0.321468518475,0.401861420875,0.432464835127,0.452652389149,ADM2,244,THA,THA-ADM2-46861878B3006671,Khao Kho,ADM2
245,0.09904700161,0.108126208894,0.107392181968,0.111747717968,0.143334932392,0.196348684576,0.202803122371,0.197493517368,0.231785510219,0.235113903426,ADM2,245,THA,THA-ADM2-46861878B29827437,Khao Phanom,ADM2
246,0.166093599431,0.187298149176,0.190745249711,0.243481227001,0.254685069113,0.320925803379,0.336969458065,0.372341838004,0.3776720176,0.40597023001,ADM2,246,THA,THA-ADM2-46861878B96611648,Khao Saming,ADM2
